Class,AntiSingleton,ClassDataShouldBePrivate,RefusedParentBequest,ComplexClass,LazyClass,LongParameterList,SpeculativeGenerality
org.apache.xalan.processor.ProcessorStylesheetDoc,0,0,0,0,0,0,0
org.apache.xml.dtm.DTMConfigurationException,0,0,0,0,0,0,0
org.apache.xalan.transformer.TransformerHandlerImpl,0,0,0,0,0,3,0
org.apache.xalan.xsltc.compiler.SecuritySupport12,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.NamespaceAlias,0,0,0,0,0,0,0
org.apache.xalan.templates.TemplateList,6,0,0,0,0,4,0
org.apache.xpath.operations.Operation,0,0,0,0,0,0,0
org.apache.xpath.operations.Minus,0,0,0,0,0,0,0
org.apache.xalan.xsltc.cmdline.getopt.MissingOptArgException,0,0,0,0,0,0,0
org.apache.xml.serializer.EmptySerializer,0,0,0,0,0,0,0
org.apache.xalan.templates.XUnresolvedVariable,0,0,0,0,0,3,0
org.apache.xalan.xsltc.compiler.CompilerException,0,0,0,0,0,0,0
org.apache.xalan.transformer.TransformSnapshotImpl,0,0,0,0,0,0,0
org.apache.xpath.axes.WalkerFactory,0,0,0,0,0,1,0
org.apache.xml.dtm.ref.DTMChildIterNodeList,0,0,0,0,0,0,0
org.apache.xpath.functions.FuncLast,0,0,0,0,0,0,0
org.apache.xpath.compiler.OpCodes,0,0,0,0,0,0,0
org.apache.xpath.objects.XMLStringFactoryImpl,0,0,0,0,0,0,0
org.apache.xalan.xsltc.cmdline.SecuritySupport,0,0,0,0,0,0,0
org.apache.xalan.xslt.SecuritySupport,0,0,0,0,0,0,0
org.apache.xalan.trace.EndSelectionEvent,0,0,0,0,1,6,0
org.apache.xpath.objects.XObject,0,0,0,5,0,0,0
org.apache.xalan.xsltc.compiler.util.Type,0,0,0,0,0,0,0
org.apache.xml.serializer.ToSAXHandler,0,0,0,0,0,0,0
org.apache.xalan.xsltc.compiler.Stylesheet,0,11,0,6,0,0,0
org.apache.xml.utils.SAXSourceLocator,0,0,0,0,0,0,0
org.apache.xalan.xsltc.trax.TrAXFilter,0,0,0,0,0,0,0
org.apache.xalan.lib.sql.SQLDocument,0,0,0,1,0,0,0
org.apache.xalan.xsltc.compiler.CopyOf,0,0,0,0,0,0,0
